tiar 1330644013 srossd 5 1
rankset 1330644013 MrDarwin {srossd +1}
solved 1330644036 epicksl {8 seconds} 10 10
solved 1330644055 srossd {5 seconds} 37 4
solved 1330644075 srossd {5 seconds} 47 10
solved 1330644112 srossd {23 seconds} 51 4
tiar 1330644112 srossd 3 0
solved 1330644131 tkamath2 {4 seconds} 10 10
solved 1330644164 tkamath2 {19 seconds} 14 4
solved 1330644252 srossd {4 seconds} 61 10
solved 1330644276 tkamath2 {10 seconds} 18 4
solved 1330644295 tkamath2 {5 seconds} 28 10
solved 1330644315 srossd {5 seconds} 65 4
solved 1330644334 tkamath2 {4 seconds} 38 10
solved 1330644354 srossd {5 seconds} 69 4
solved 1330644392 tkamath2 {8 seconds} 48 10
solved 1330644417 srossd {11 seconds} 73 4
solved 1330644436 tkamath2 {4 seconds} 58 10
solved 1330644558 srossd {1 minute 47 seconds} 77 4
solved 1330644583 tkamath2 {10 seconds} 68 10
solved 1330644601 tkamath2 {4 seconds} 72 4
solved 1330644620 tkamath2 {4 seconds} 82 10
tiar 1330644620 tkamath2 3 0
solved 1330644642 srossd {7 seconds} 81 4
solved 1330644675 srossd {19 seconds} 91 10
solved 1330644693 srossd {4 seconds} 95 4
tiar 1330644693 srossd 3 0
solved 1330644711 tkamath2 {4 seconds} 92 10
solved 1330644729 srossd {4 seconds} 99 4
solved 1330644748 tkamath2 {4 seconds} 102 10
solved 1330644768 tkamath2 {5 seconds} 106 4
solved 1330644787 srossd {5 seconds} 109 10
solved 1330644806 srossd {5 seconds} 113 4
solved 1330644846 srossd {26 seconds} 123 10
tiar 1330644846 srossd 3 0
solved 1330644864 tkamath2 {4 seconds} 110 4
solved 1330644883 srossd {4 seconds} 133 10
solved 1330644934 srossd {21 seconds} 137 4
solved 1330644953 tkamath2 {5 seconds} 120 10
solved 1330644972 tkamath2 {5 seconds} 124 4
solved 1330644995 srossd {9 seconds} 147 10
solved 1330645013 tkamath2 {3 seconds} 128 4
solved 1330645036 srossd {8 seconds} 157 10
solved 1330645055 srossd {4 seconds} 161 4
solved 1330646276 srossd {6 seconds} 171 10
tiar 1330646276 srossd 3 0
solved 1330646296 tkamath2 {6 seconds} 132 4
solved 1330646364 srossd {53 seconds} 181 10
solved 1330646394 srossd {15 seconds} 185 4
solved 1330646416 srossd {7 seconds} 195 10
tiar 1330646416 srossd 3 0
solved 1330646452 srossd {7 seconds} 199 4
solved 1330646470 srossd {4 seconds} 209 10
tiar 1330646470 srossd 5 1
rankset 1330646470 MrDarwin {srossd +1}
gamewon 1330646470 srossd 210 200 2693
gamestart 1330646500
solved 1330646506 srossd {6 seconds} 4 4
solved 1330646529 epicksl {9 seconds} 10 10
solved 1330646550 srossd {7 seconds} 8 4
solved 1330646570 tkamath2 {6 seconds} 10 10
solved 1330646590 srossd {5 seconds} 12 4
solved 1330646608 tkamath2 {4 seconds} 20 10
solved 1330646627 tkamath2 {5 seconds} 24 4
solved 1330646664 srossd {22 seconds} 22 10
solved 1330646888 srossd {4 seconds} 26 4
solved 1330646910 tkamath2 {7 seconds} 34 10
solved 1330646929 srossd {4 seconds} 30 4
solved 1330646952 srossd {8 seconds} 40 10
solved 1330647249 epicksl {4 minutes 43 seconds} 14 4
solved 1330647269 srossd {5 seconds} 50 10
solved 1330647338 srossd {55 seconds} 54 4
solved 1330647360 tkamath2 {8 seconds} 44 10
solved 1330647378 srossd {3 seconds} 58 4
solved 1330647398 tkamath2 {5 seconds} 54 10
